,Player,matches,runs,boundaries,balls_faced,wickets,balls_bowled,runs_conceded,batting_avg,batting_strike_rate,boundaries_percent,bowling_economy,bowling_avg,bowling_strike_rate,catches,stumpings
536,Sohail Tanvir,11,36,4,31,22,265,275,3.27,116.13,12.9,6.23,12.5,12.05,4,0
537,Sunny Gupta,1,0,0,1,0,19,47,0,0,0,14.84,470000,190000,0,0
538,Sunny Singh,5,43,7,31,0,0,0,8.6,138.71,22.58,0,0,0,1,0
539,Swapnil Singh,5,12,0,20,1,61,90,2.4,60,0,8.85,89.99,60.99,0,0
540,T Banton,2,18,2,22,0,0,0,9,81.82,9.09,0,0,0,0,0
541,T Henderson,2,11,1,16,1,36,41,5.5,68.75,6.25,6.83,41,36,0,0
542,T Kohli,3,11,1,20,0,0,0,3.67,55,5,0,0,0,5,0
543,T Natarajan,35,3,0,5,38,793,1116,0.09,60,0,8.44,29.37,20.87,3,0
544,T Shamsi,5,2,0,4,3,120,185,0.4,50,0,9.25,61.66,40,0,0
545,T Stubbs,2,2,0,4,0,0,0,1,50,0,0,0,0,0,0
546,T Taibu,3,31,3,26,0,0,0,10.33,119.23,11.54,0,0,0,1,0
547,T Thushara,6,12,0,19,8,144,164,2,63.16,0,6.83,20.5,18,3,0
548,TA Boult,78,53,4,49,92,1860,2522,0.68,108.16,8.16,8.14,27.41,20.22,24,0
549,TD Paine,2,10,0,29,0,0,0,5,34.48,0,0,0,0,0,0
550,TG Southee,52,120,12,108,45,1226,1695,2.31,111.11,11.11,8.3,37.67,27.24,21,0
551,TH David,9,187,28,94,0,0,0,20.78,198.94,29.79,0,0,0,6,0
552,TK Curran,13,127,13,108,13,252,432,9.77,117.59,12.04,10.29,33.23,19.38,2,0
553,TL Seifert,3,26,4,26,0,0,0,8.67,100,15.38,0,0,0,1,0
554,TL Suman,40,676,81,587,6,152,198,16.9,115.16,13.8,7.82,33,25.33,10,0
555,TM Dilshan,50,1153,164,1047,5,275,368,23.06,110.12,15.66,8.03,73.6,55,21,0
556,TM Head,10,205,20,151,2,48,81,20.5,135.76,13.25,10.12,40.5,24,3,0
557,TM Srivastava,3,8,0,11,0,0,0,2.67,72.73,0,0,0,0,2,0
558,TR Birt,5,75,11,59,0,0,0,15,127.12,18.64,0,0,0,0,0
559,TS Mills,10,8,1,14,11,218,349,0.8,57.14,7.14,9.61,31.73,19.82,1,0
560,TU Deshpande,7,21,3,12,4,153,260,3,175,25,10.2,65,38.25,2,0
561,Tilak Varma,14,397,45,313,0,12,13,28.36,126.84,14.38,6.5,130000,120000,10,0
562,U Kaul,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0
563,UA Birla,1,7,1,15,0,0,0,7,46.67,6.67,0,0,0,1,0
564,UBT Chand,20,300,41,314,0,0,0,15,95.54,13.06,0,0,0,9,0
565,UT Khawaja,6,127,17,105,0,0,0,21.17,120.95,16.19,0,0,0,1,0
566,UT Yadav,132,177,23,176,135,2945,4041,1.34,100.57,13.07,8.23,29.93,21.81,32,0
567,Umar Gul,6,39,6,19,12,153,198,6.5,205.26,31.58,7.76,16.5,12.75,0,0
568,Umran Malik,17,4,0,8,24,388,551,0.24,50,0,8.52,22.96,16.17,3,0
569,V Kohli,216,6634,800,5266,4,264,371,30.71,125.98,15.19,8.43,92.75,66,93,0
570,V Pratap Singh,9,0,0,1,10,211,300,0,0,0,8.53,30,21.1,0,0
571,V Sehwag,104,2728,440,1833,6,138,236,26.23,148.83,24,10.26,39.33,23,34,0
572,V Shankar,47,731,74,616,9,258,344,15.55,118.67,12.01,8,38.22,28.67,27,0
573,VG Arora,5,5,0,14,3,110,165,1,35.71,0,9,55,36.67,1,0
574,VH Zol,2,29,4,26,0,0,0,14.5,111.54,15.38,0,0,0,0,0
575,VR Aaron,50,50,4,73,44,1065,1527,1,68.49,5.48,8.6,34.7,24.2,3,0
576,VR Iyer,22,552,75,474,3,78,117,25.09,116.46,15.82,9,39,26,11,0
577,VRV Singh,18,4,1,3,12,371,549,0.22,133.33,33.33,8.88,45.75,30.92,3,0
578,VS Malik,13,7,1,7,6,212,268,0.54,100,14.29,7.58,44.67,35.33,2,0
579,VS Yeligati,2,2,0,2,0,32,61,1,100,0,11.44,610000,320000,0,0
580,VVS Laxman,20,282,38,271,0,0,0,14.1,104.06,14.02,0,0,0,4,0
581,VY Mahesh,17,15,0,28,21,359,511,0.88,53.57,0,8.54,24.33,17.1,6,0
582,Virat Singh,2,15,1,26,0,0,0,7.5,57.69,3.85,0,0,0,2,0
583,Vishnu Vinod,3,19,2,26,0,0,0,6.33,73.08,7.69,0,0,0,0,2
584,W Jaffer,8,130,17,129,0,0,0,16.25,100.78,13.18,0,0,0,4,0
585,WA Mota,10,56,2,76,4,75,98,5.6,73.68,2.63,7.84,24.5,18.75,5,0
586,WD Parnell,26,63,5,80,26,601,731,2.42,78.75,6.25,7.3,28.12,23.12,6,0
587,WP Saha,117,2427,307,1951,0,0,0,20.74,124.4,15.74,0,0,0,79,22
588,WPUJC Vaas,13,81,5,73,18,288,364,6.23,110.96,6.85,7.58,20.22,16,0,0
589,Washington Sundar,50,318,35,278,33,928,1116,6.36,114.39,12.59,7.22,33.82,28.12,9,0
590,X Thalaivan Sargunam,1,10,0,17,0,0,0,10,58.82,0,0,0,0,0,0
591,Y Gnaneswara Rao,2,19,3,18,0,6,7,9.5,105.56,16.67,7,70000,60000,2,0
592,Y Nagar,20,285,29,271,4,72,125,14.25,105.17,10.7,10.42,31.25,18,7,0
593,Y Prithvi Raj,2,0,0,1,1,33,57,0,0,0,10.36,56.99,33,0,0
594,Y Venugopal Rao,57,985,114,865,6,222,338,17.28,113.87,13.18,9.14,56.33,37,13,0
595,YA Abdulla,11,0,0,1,15,222,311,0,0,0,8.41,20.73,14.8,0,0
596,YBK Jaiswal,23,547,84,410,0,1,6,23.78,133.41,20.49,36,60000,10000,6,0
597,YK Pathan,161,3222,424,2334,42,1184,1443,20.01,138.05,18.17,7.31,34.36,28.19,41,0
598,YS Chahal,130,37,0,89,166,2940,3699,0.28,41.57,0,7.55,22.28,17.71,21,0
599,YV Takawale,10,192,29,183,0,0,0,19.2,104.92,15.85,0,0,0,13,4
